tweet_id,fav_count,retweet_count
666020888022790149,2566,517
666029285002620928,130,47
666033412701032449,125,44
666044226329800704,299,141
666049248165822465,109,41
666050758794694657,133,58
666051853826850816,1222,852
666055525042405380,434,252
666057090499244032,297,142
666058600524156928,111,57
666063827256086533,475,219
666071193221509120,148,62
666073100786774016,322,164
666082916733198337,119,45
666094000022159362,164,74
666099513787052032,155,68
666102155909144576,80,13
666104133288665088,14339,6624
666268910803644416,103,35
666273097616637952,175,76
666287406224695296,149,66
666293911632134144,508,357
666337882303524864,199,91
666345417576210432,298,138
666353288456101888,221,73
666362758909284353,779,574
666373753744588802,189,93
666396247373291520,168,86
666407126856765440,110,41
666411507551481857,449,328
666418789513326592,126,47
666421158376562688,318,111
666428276349472768,165,84
666430724426358785,321,199
666435652385423360,166,54
666437273139982337,126,49
666447344410484738,105,21
666454714377183233,526,212
666644823164719104,234,84
666649482315059201,894,590
666691418707132416,190,48
666701168228331520,438,222
666739327293083650,240,66
666776908487630848,356,178
666781792255496192,395,203
666786068205871104,773,495
666804364988780544,244,94
666817836334096384,528,258
666826780179869698,258,98
666835007768551424,218,80
666837028449972224,834,566
666983947667116034,2600,1010
666996132027977728,248,97
667012601033924608,456,231
667044094246576128,189,51
667062181243039745,221,56
667065535570550784,169,49
667070482143944705,85,14
667073648344346624,413,126
667090893657276420,340,130
667119796878725120,335,131
667138269671505920,4712,2291
667152164079423490,48838,17689
667160273090932737,262,65
667165590075940865,2750,1184
667171260800061440,227,93
667174963120574464,252,86
667176164155375616,624,473
667177989038297088,193,57
667182792070062081,14676,6424
667188689915760640,759,430
667192066997374976,396,109
667200525029539841,626,270
667211855547486208,501,249
667369227918143488,376,168
667393430834667520,199,58
667405339315146752,475,224
667435689202614272,310,85
667437278097252352,458,247
667443425659232256,804,603
667453023279554560,320,92
667455448082227200,194,65
667470559035432960,264,100
667491009379606528,547,235
667495797102141441,540,285
667502640335572993,544,227
667509364010450944,6949,2208
667517642048163840,377,198
667524857454854144,1744,1160
667530908589760512,486,252
667534815156183040,841,558
667538891197542400,209,69
667544320556335104,890,544
667546741521195010,340,130
667549055577362432,5950,2384
667550882905632768,0,33
667550904950915073,0,35
667724302356258817,500,332
667728196545200128,383,156
667766675769573376,457,227
667773195014021121,240,59
667782464991965184,424,253
667793409583771648,718,341
667801013445750784,338,97
667806454573760512,1084,519
667832474953625600,294,65
667861340749471744,250,81
667866724293877760,3089,1077
667873844930215936,649,425
667878741721415682,404,123
667885044254572545,846,508
667886921285246976,1952,1139
667902449697558528,871,390
